w,f,policy,law,failures,total,pct
6,3,saturate,monotonicity_add,0,133120,0.0000
6,3,saturate,additive_inverse,2016,4096,49.2188
6,4,wrap,add_assoc,0,262144,0.0000
6,4,wrap,mul_assoc,187704,262144,71.6034
6,4,wrap,distributivity,172544,262144,65.8203
6,4,wrap,monotonicity_add,43680,133120,32.8125
6,4,wrap,additive_inverse,0,4096,0.0000
6,4,saturate,add_assoc,0,262144,0.0000
6,4,saturate,mul_assoc,88038,262144,33.5838
6,4,saturate,distributivity,50991,262144,19.4515
6,4,saturate,monotonicity_add,0,133120,0.0000
6,4,saturate,additive_inverse,2016,4096,49.2188
6,5,wrap,add_assoc,0,262144,0.0000
6,5,wrap,mul_assoc,125100,262144,47.7219
6,5,wrap,distributivity,181536,262144,69.2505
6,5,wrap,monotonicity_add,43680,133120,32.8125
6,5,wrap,additive_inverse,0,4096,0.0000
6,5,saturate,add_assoc,0,262144,0.0000
6,5,saturate,mul_assoc,95176,262144,36.3068
6,5,saturate,distributivity,100236,262144,38.2370
6,5,saturate,monotonicity_add,0,133120,0.0000
6,5,saturate,additive_inverse,2016,4096,49.2188
6,6,wrap,add_assoc,0,262144,0.0000
6,6,wrap,mul_assoc,54304,262144,20.7153
6,6,wrap,distributivity,184512,262144,70.3857
6,6,wrap,monotonicity_add,43680,133120,32.8125
6,6,wrap,additive_inverse,0,4096,0.0000
6,6,saturate,add_assoc,0,262144,0.0000
6,6,saturate,mul_assoc,54304,262144,20.7153
6,6,saturate,distributivity,175460,262144,66.9327
6,6,saturate,monotonicity_add,0,133120,0.0000
6,6,saturate,additive_inverse,2016,4096,49.2188
7,0,wrap,add_assoc,0,2097152,0.0000
7,0,wrap,mul_assoc,0,2097152,0.0000
7,0,wrap,distributivity,0,2097152,0.0000
7,0,wrap,monotonicity_add,349504,1056768,33.0729
7,0,wrap,additive_inverse,0,16384,0.0000
7,0,saturate,add_assoc,0,2097152,0.0000
7,0,saturate,mul_assoc,0,2097152,0.0000
7,0,saturate,distributivity,0,2097152,0.0000
7,0,saturate,monotonicity_add,0,1056768,0.0000
7,0,saturate,additive_inverse,8128,16384,49.6094
7,1,wrap,add_assoc,0,2097152,0.0000
7,1,wrap,mul_assoc,1134784,2097152,54.1107
7,1,wrap,distributivity,649216,2097152,30.9570
7,1,wrap,monotonicity_add,349504,1056768,33.0729
7,1,wrap,additive_inverse,0,16384,0.0000
7,1,saturate,add_assoc,0,2097152,0.0000
7,1,saturate,mul_assoc,32948,2097152,1.5711
7,1,saturate,distributivity,11956,2097152,0.5701
7,1,saturate,monotonicity_add,0,1056768,0.0000
7,1,saturate,additive_inverse,8128,16384,49.6094
7,2,wrap,add_assoc,0,2097152,0.0000
7,2,wrap,mul_assoc,1673768,2097152,79.8115
7,2,wrap,distributivity,1038336,2097152,49.5117
7,2,wrap,monotonicity_add,349504,1056768,33.0729
7,2,wrap,additive_inverse,0,16384,0.0000
7,2,saturate,add_assoc,0,2097152,0.0000
7,2,saturate,mul_assoc,101368,2097152,4.8336
7,2,saturate,distributivity,39727,2097152,1.8943
7,2,saturate,monotonicity_add,0,1056768,0.0000
7,2,saturate,additive_inverse,8128,16384,49.6094
7,3,wrap,add_assoc,0,2097152,0.0000
7,3,wrap,mul_assoc,1835782,2097152,87.5369
7,3,wrap,distributivity,1265152,2097152,60.3271
7,3,wrap,monotonicity_add,349504,1056768,33.0729
7,3,wrap,additive_inverse,0,16384,0.0000
7,3,saturate,add_assoc,0,2097152,0.0000
7,3,saturate,mul_assoc,238282,2097152,11.3622
7,3,saturate,distributivity,98324,2097152,4.6885
7,3,saturate,monotonicity_add,0,1056768,0.0000
7,3,saturate,additive_inverse,8128,16384,49.6094
7,4,wrap,add_assoc,0,2097152,0.0000
7,4,wrap,mul_assoc,1813668,2097152,86.4824
7,4,wrap,distributivity,1394688,2097152,66.5039
7,4,wrap,monotonicity_add,349504,1056768,33.0729
7,4,wrap,additive_inverse,0,16384,0.0000
7,4,saturate,add_assoc,0,2097152,0.0000
7,4,saturate,mul_assoc,473520,2097152,22.5792
7,4,saturate,distributivity,216480,2097152,10.3226
7,4,saturate,monotonicity_add,0,1056768,0.0000
7,4,saturate,additive_inverse,8128,16384,49.6094
7,5,wrap,add_assoc,0,2097152,0.0000
