arm A: witness counts, half-up, F_dst < F_mid < F_src <= 8, exhaustive per cell
 F_src  F_mid  F_dst   values  witnesses
     3      1      0        8          2
     3      2      0        8          1
     3      2      1        8          2
     4      1      0       16          4
     4      2      0       16          2
     4      2      1       16          4
     4      3      0       16          1
     4      3      1       16          2
     4      3      2       16          4
     5      1      0       32          8
     5      2      0       32          4
     5      2      1       32          8
     5      3      0       32          2
     5      3      1       32          4
     5      3      2       32          8
     5      4      0       32          1
     5      4      1       32          2
     5      4      2       32          4
     5      4      3       32          8
     6      1      0       64         16
     6      2      0       64          8
     6      2      1       64         16
     6      3      0       64          4
     6      3      1       64          8
     6      3      2       64         16
     6      4      0       64          2
     6      4      1       64          4
     6      4      2       64          8
     6      4      3       64         16
     6      5      0       64          1
     6      5      1       64          2
     6      5      2       64          4
     6      5      3       64          8
     6      5      4       64         16
     7      1      0      128         32
     7      2      0      128         16
     7      2      1      128         32
     7      3      0      128          8
     7      3      1      128         16
     7      3      2      128         32
     7      4      0      128          4
     7      4      1      128          8
     7      4      2      128         16
     7      4      3      128         32
     7      5      0      128          2
     7      5      1      128          4
     7      5      2      128          8
     7      5      3      128         16
     7      5      4      128         32
     7      6      0      128          1
     7      6      1      128          2
     7      6      2      128          4
     7      6      3      128          8
     7      6      4      128         16
     7      6      5      128         32
     8      1      0      256         64
     8      2      0      256         32
     8      2      1      256         64
     8      3      0      256         16
     8      3      1      256         32
     8      3      2      256         64
     8      4      0      256          8
     8      4      1      256         16
     8      4      2      256         32
     8      4      3      256         64
     8      5      0      256          4
     8      5      1      256          8
     8      5      2      256         16
     8      5      3      256         32
     8      5      4      256         64
     8      6      0      256          2
     8      6      1      256          4
     8      6      2      256          8
     8      6      3      256         16
     8      6      4      256         32
     8      6      5      256         64
     8      7      0      256          1
     8      7      1      256          2
     8      7      2      256          4
     8      7      3      256          8
     8      7      4      256         16
     8      7      5      256         32
     8      7      6      256         64

arm B (control, must agree): F_mid = F_src, nothing discarded at the intermediate
  zero witnesses in every cell, as required

arm C (negative control, MUST FAIL): assert zero witnesses at (4, 3, 2)
  FAILED AS REQUIRED: 4 witnesses; first x = 1/16:
    direct to quarters: 0/4, via eighths: 1/4
  a carrier free to round onto its own finer grid first is observably a
  different arithmetic from the declared-grid one.
