06_probes	d_n	<Num<N4
06_probes	d_t	<Num<N4
06_probes	i	=
06_probes	f	=
07_probes	only	==
07_probes	x	1/8
07_probes	v	1/2
07_probes	x	1/8
07_probes	v	0
07_probes	x	1/8
07_probes	v	0
07_probes	x	-7/8
07_probes	v	-1/2
07_probes	x	-7/8
07_probes	v	-1
07_probes	x	1/8
07_probes	v	1/2
07_probes	x	1/8
07_probes	v	0
07_probes	x	3/8
07_probes	v	1/2
07_probes	x	1/8
07_probes	v	0
07_probes	x	1/4
07_probes	v	1/2
07_probes	x	5/8
07_probes	v	1/2
07_probes	x	-1
07_probes	v	0
07_probes	x	1/8
07_probes	v	0
07_probes	x	-1
07_probes	v	0
07_probes	x	1/8
07_probes	v	0
07_probes	x	-1
07_probes	v	0
07_probes	x	5/8
07_probes	v	1/2
07_probes	x	-1
07_probes	v	0
07_probes	x	1/8
07_probes	v	0
07_probes	x	-1
07_probes	v	0
07_probes	x	1/8
07_probes	v	0
07_probes	x	-1
07_probes	v	0
07_probes	g	id
07_probes	range	==
07_probes	s	[Fraction(1
07_probes	s	[Fraction(0
07_probes	s	[Fraction(1
07_probes	s	[Fraction(1
07_probes	s	[Fraction(1
07_probes	s	[Fraction(1
07_probes	naive	best
07_probes	wmax	4
07_probes	cover	==
07_probes	s	[Fraction(0
07_probes	s	[Fraction(1
07_probes	join	alpha(cup
07_probes	form	==
07_probes	same	==
07_probes	proof	==
07_probes	x	9/16
07_probes	x	3/8
07_probes	is	==
07_probes	separates	==
07_probes	x	9/32:
07_probes	x	1/32:
07_probes	x	17/32:
07_probes	x	41/32:
07_probes	a	0
07_probes	p	1
07_probes	a	0
07_probes	p	1
07_probes	a	0
07_probes	p	1/2
07_probes	a	0
07_probes	p	1/2
07_probes	a	0
07_probes	p	1
07_probes	a	0
07_probes	p	1
07_probes	seq	[Fraction(0
07_probes	exact	8
07_probes	abstract	0
07_probes	seq	[Fraction(0
07_probes	exact	8
07_probes	abstract	0
07_probes	n	1:0/4
07_probes	n	2:0/16
07_probes	n	3:4/64
07_probes	n	4:66/256
07_probes	n	5:511/1024
07_probes	n	6:2828/4096
07_probes	n	7:13064/16384
07_probes	n	8:55085/65536
07_probes	n	1:0/4
07_probes	n	2:0/16
07_probes	n	3:0/64
07_probes	n	4:0/256
07_probes	n	5:0/1024
07_probes	n	6:0/4096
07_probes	n	7:0/16384
07_probes	n	8:0/65536
07_probes	n	1:0/4
07_probes	n	2:0/16
07_probes	n	3:4/64
07_probes	n	4:66/256
07_probes	n	5:512/1024
07_probes	n	6:2860/4096
07_probes	n	7:13332/16384
07_probes	n	8:56313/65536
07_probes	n	4.
07_probes	iciency_as_a_bound6call_a	__RNvCslBZzTB4pgIt_25p6_sufficiency_as_a_bound12call_b_equal
07_probes	iciency_as_a_bound6call_b	__RNvCslBZzTB4pgIt_25p6_sufficiency_as_a_bound12call_b_equal
07_probes	representation	==
07_probes	box	==
07_probes	w	5
08_probes	distinct	1
08_probes	distinct	1
08_probes	i	2
08_probes	f	2
08_probes	p	3
08_probes	e	-2..3
08_probes	distinct	6
08_probes	p	3
08_probes	e	-2..3
08_probes	e	-2
08_probes	distinct	6
08_probes	p	4
08_probes	e	-6..8
08_probes	e	-6
08_probes	distinct	15
08_probes	distinct	8
08_probes	distinct	19
08_probes	distinct	50
08_probes	p	2
08_probes	e	-2..2
08_probes	distinct	5
08_probes	p	2
08_probes	e	-2..2
08_probes	p	7
08_probes	q	7
08_probes	distinct	1
08_probes	distinct	2
08_probes	distinct	1
08_probes	distinct	1
08_probes	n	16
08_probes	distinct	2
08_probes	p	3
08_probes	e	-1..2
08_probes	distinct	3
08_probes	f	3
08_probes	k	1..64
08_probes	i	2
08_probes	f	2:
08_probes	p	2
08_probes	e	-2..2
08_probes	p	7
08_probes	q	7:
08_probes	distinct	1
08_probes	distinct	1
08_probes	i	2
08_probes	f	2
08_probes	distinct	1
08_probes	distinct	1
08_probes	p	3
08_probes	e	-2..3
08_probes	distinct	6
08_probes	p	3
08_probes	e	-2..3
08_probes	distinct	6
08_probes	e	-2
08_probes	p	4
08_probes	e	-6..8
08_probes	distinct	15
08_probes	e	-6
08_probes	p	8
08_probes	e	-6..7
08_probes	distinct	14
08_probes	e	-6
08_probes	distinct	6
08_probes	distinct	13
08_probes	distinct	36
08_probes	p	2
08_probes	e	-2..2
08_probes	distinct	5
08_probes	p	2
08_probes	e	-2..2
08_probes	p	7
08_probes	q	7
08_probes	distinct	1
08_probes	distinct	1
08_probes	distinct	1
08_probes	distinct	1
08_probes	distinct	1
08_probes	n	16
08_probes	distinct	1
08_probes	p	3
08_probes	e	-1..2
08_probes	k	1..64
08_probes	p	2
08_probes	e	-2..2
08_probes	p	7
08_probes	q	7:
08_probes	p	3
08_probes	e	-1..2:
08_probes	float	['0'
08_probes	monotone	True
08_probes	inhabited	True
08_probes	p	3
08_probes	e	-2..3
08_probes	monotone	True
08_probes	inhabited	True
08_probes	monotone	True
08_probes	inhabited	True
08_probes	monotone	True
08_probes	inhabited	True
08_probes	monotone	True
08_probes	inhabited	True
08_probes	n	10
08_probes	closure	10
08_probes	closure	15
08_probes	n	10
08_probes	closure	10
08_probes	closure	15
08_probes	n	15
08_probes	closure	15
08_probes	closure	31
08_probes	n	15
08_probes	closure	15
08_probes	closure	31
08_probes	n	15
08_probes	closure	15
08_probes	closure	31
08_probes	n	15
08_probes	closure	15
08_probes	closure	31
08_probes	w	5
08_probes	p	5:
08_probes	n	30
08_probes	meet	30
08_probes	join	79
08_probes	n	12
08_probes	meet	24
08_probes	join	24
08_probes	n	30
08_probes	meet	30
08_probes	join	79
08_probes	injective	True
08_probes	order	value
08_probes	injective	True
08_probes	order	value
08_probes	injective	False
08_probes	order	value
08_probes	injective	False
08_probes	order	value
08_probes	injective	True
08_probes	order	value
08_probes	injective	True
08_probes	order	value
08_probes	injective	False
08_probes	order	value
08_probes	injective	False
08_probes	order	value
08_probes	injective	True
08_probes	order	value
08_probes	injective	False
08_probes	order	value
08_probes	p	2
08_probes	injective	False
08_probes	order	value
08_probes	file	==
08_probes	l_b16_ibl_b16_b1w_eeeeb2_	__RINvCsf25xKF8qdgZ_22p3_segmented_typestate5widenINtB2_4ConsINtB2_1SNtB2_1ZEIBL_BV_IBL_BV_NtB2_3NilEEEIBL_B13_B1b_EEB2_
08_probes	ibl_bv_ibl_bv_b1i_eeeeb2_	__RINvCsf25xKF8qdgZ_22p3_segmented_typestate5widenINtB2_4ConsINtB2_1SNtB2_1ZEIBL_BV_IBL_BV_NtB2_3NilEEEIBL_B13_B1b_EEB2_
08_probes	ted_typestate10widen_bare	__RINvCsf25xKF8qdgZ_22p3_segmented_typestate5widenINtB2_4ConsINtB2_1SNtB2_1ZEIBL_BV_IBL_BV_NtB2_3NilEEEIBL_B13_B1b_EEB2_
08_probes	te21call_fixed_to_unnamed	__RINvCsf25xKF8qdgZ_22p3_segmented_typestate5widenINtB2_4ConsINtB2_1SNtB2_1ZEIBL_BV_IBL_BV_NtB2_3NilEEEIBL_B13_B1b_EEB2_
08_probes	te21call_float_to_unnamed	__RINvCsf25xKF8qdgZ_22p3_segmented_typestate5widenINtB2_4ConsINtB2_1SNtB2_1ZEIBL_BV_IBL_BV_NtB2_3NilEEEIBL_B13_B1b_EEB2_
08_probes	e22call_tapered_to_finest	__RINvCsf25xKF8qdgZ_22p3_segmented_typestate5widenINtB2_4ConsINtB2_1SNtB2_1ZEIBL_BV_IBL_BV_NtB2_3NilEEEIBL_B13_B1b_EEB2_
08_probes	reading	==
100_probes	threads	1
100_probes	n	1048576
100_probes	n	2097152
100_probes	n	4194304
100_probes	n	8388608
100_probes	n	1048576
100_probes	n	2097152
100_probes	n	4194304
100_probes	n	8388608
100_probes	n	1048576
100_probes	n	2097152
100_probes	n	4194304
100_probes	n	8388608
100_probes	n	1048576
100_probes	n	2097152
100_probes	n	4194304
100_probes	n	8388608
100_probes	n	1048576
100_probes	n	2097152
100_probes	n	4194304
100_probes	n	8388608
100_probes	n	1048576
100_probes	n	2097152
100_probes	n	4194304
100_probes	n	8388608
100_probes	p	0.95
100_probes	p	0.80
100_probes	regret	(held
100_probes	n	1048576
100_probes	n	2097152
100_probes	n	4194304
100_probes	n	8388608
100_probes	regret	(held
100_probes	n	1048576
100_probes	n	2097152
100_probes	n	4194304
100_probes	n	8388608
100_probes	regret	(held
100_probes	n	1048576
100_probes	n	2097152
100_probes	n	4194304
100_probes	n	8388608
100_probes	regret	(held
100_probes	n	1048576
100_probes	n	2097152
100_probes	n	4194304
100_probes	n	8388608
100_probes	regret	(held
100_probes	n	1048576
100_probes	n	2097152
100_probes	n	4194304
100_probes	n	8388608
100_probes	regret	(held
100_probes	n	1048576
100_probes	n	2097152
100_probes	n	4194304
100_probes	n	8388608
100_probes	p	0.95
100_probes	p	0.80
100_probes	w	['32'
100_probes	w	['1'
