02_probes	35	8	0
03_probes	17	5	0
06_probes	19	6	0
07_probes	23	5	0
08_probes	38	8	0
100_probes	34	4	0
101_probes	35	5	0
102_probes	33	6	0
103_probes	15	4	0
106_probes	12	2	0
107_probes	14	1	0
108_probes	26	1	0
109_probes	3	1	0
10_probes	31	7	0
110_probes	14	2	0
111_probes	28	7	0
112_probes	18	6	0
114_probes	31	8	0
115_probes	13	7	0
116_probes	18	5	0
118_probes	41	12	0
119_probes	11	7	0
11_probes	59	13	0
120_probes	2	2	0
121_probes	4	2	0
122_probes	6	4	0
125_probes	29	9	0
126_probes	12	1	0
127_probes	11	5	0
128_probes	17	6	0
129_probes	12	6	0
12_probes	42	13	0
130_probes	16	9	0
131_probes	17	7	0
132_probes	5	3	0
133_probes	6	2	0
135_probes	7	3	0
136_probes	15	4	0
137_probes	33	11	0
138_probes	3	2	0
139_probes	23	10	0
13_probes	21	8	0
140_probes	38	6	0
141_probes	17	7	0
142_probes	16	7	0
143_probes	9	3	0
144_probes	16	7	0
145_probes	34	8	0
146_probes	9	5	0
147_probes	8	4	1
148_probes	11	3	0
149_probes	9	4	1
150_probes	5	3	0
151_probes	26	5	1
154_probes	24	8	0
155_probes	1	1	0
157_probes	71	13	0
158_probes	0	0	0
159_probes	7	1	0
15_probes	44	12	0
160_probes	16	3	0
161_probes	11	3	0
162_probes	8	3	0
163_probes	18	2	0
164_probes	5	2	0
165_probes	2	1	0
167_probes	13	2	0
168_probes	18	3	0
169_probes	9	3	0
16_probes	90	19	0
170_probes	6	2	0
171_probes	17	4	0
172_probes	9	2	0
173_probes	17	5	0
174_probes	6	2	0
175_probes	14	4	0
176_probes	11	3	0
177_probes	14	2	0
178_probes	6	1	0
179_probes	4	1	0
17_probes	25	7	0
180_probes	3	1	0
183_probes	11	1	3
185_probes	0	0	0
18_probes	63	17	0
20_probes	6	3	0
21_probes	8	4	0
22_probes	13	6	0
23_probes	5	2	0
24_probes	13	3	0
25_probes	46	15	0
26_probes	21	4	0
27_probes	25	7	0
31_probes	21	8	0
33_probes	9	3	0
35_probes	59	17	0
40_probes	57	13	0
42_probes	61	15	0
43_probes	42	11	0
45_probes	112	18	0
47_probes	94	13	1
49_probes	20	10	1
50_probes	44	10	0
51_probes	43	6	1
55_probes	49	14	0
56_probes	53	11	0
57_probes	205	23	0
58_probes	32	6	0
60_probes	37	11	0
61_probes	51	8	0
62_probes	39	7	0
63_probes	22	4	0
65_probes	7	3	0
66_probes	12	3	0
67_probes	14	3	0
68_probes	32	5	0
70_probes	10	3	0
71_probes	43	8	0
72_probes	16	5	0
73_probes	61	7	0
76_probes	25	8	0
77_probes	45	5	0
79_probes	24	6	0
80_probes	56	10	0
82_probes	45	5	0
84_probes	34	6	0
86_probes	21	4	0
89_probes	30	2	0
92_probes	11	1	0
93_probes	35	6	0
94_probes	14	5	0
97_probes	40	6	0
98_probes	55	7	0
SEED_TALKING_POINTS_probes	3	1	0
SEED_THEORY_46_90_probes	0	0	0
